case_id,dataset_id,input,reference,full_output,q4_output,full_error,q4_error,both_completed,identical_raw_output,full_exact_match,q4_exact_match,full_edit_similarity,q4_edit_similarity,delta_edit_similarity,full_chrf,q4_chrf,delta_chrf,full_wer,q4_wer,delta_wer,full_seconds,full_tokens_per_second,full_finish_reason,q4_seconds,q4_tokens_per_second,q4_finish_reason
V01,voiceink-validation,mina where should i return the folding chairs the parish hall or the sports pavilion question mark and who has the storage key i can go tomorrow,"Mina, where should I return the folding chairs, the parish hall or the sports pavilion? And who has the storage key? I can go tomorrow.","Where should I return the folding chairs? The parish hall or the sports pavilion?

Question: Who has the storage key?
I can go tomorrow.","Where should I return the folding chairs? The parish hall or the sports pavilion?

Who has the storage key? I can go tomorrow.",,,True,False,False,False,0.8929889298892989,0.9195402298850575,0.02655129999575856,0.8176226954888203,0.8273825692490084,0.009759873760188165,0.32,0.24,-0.08000000000000002,1.0540694159999475,30.358531909061284,stop,0.4940008339999622,58.70435433313908,stop
V02,voiceink-validation,message to dev colon the freezer door looks shut but it isnt sealing comma so push it until you hear two clicks not one full stop,"Message to Dev: The freezer door looks shut, but it isn’t sealing, so push it until you hear 2 clicks, not one.","Message to dev: The freezer door looks shut, but it isnt sealing, so push it until you hear two clicks.","Message to dev: The freezer door looks shut, but it isn't sealing, so push it until you hear two clicks, not one full stop.",,,True,False,False,False,0.9252336448598131,0.923076923076923,-0.0021567217828900587,0.7811571994483819,0.8368532426261962,0.05569604317781429,0.2727272727272727,0.2727272727272727,0.0,0.586302582999906,40.93449474024208,stop,0.48176566700021795,62.27093804089287,stop
V03,voiceink-validation,dear ken we heard about your new house period may we visit next sunday around tea time question mark warm wishes comma lou and fay,"Dear Ken,

We heard about your new house. May we visit next Sunday around teatime?

Warm wishes,
Lou and Fay","Dear Ken,

We heard about your new house. May we visit next Sunday around tea time?

Warm wishes,
Lou and Fay","Dear Ken,

We heard about your new house. We may visit next Sunday around tea time.

Warm wishes,
Lou and Fay",,,True,False,False,False,0.9953917050691244,0.9493087557603687,-0.04608294930875578,0.9819977433574129,0.8524202101091505,-0.12957753324826238,0.10526315789473684,0.21052631578947367,0.10526315789473684,0.5795653749996745,48.31206488140484,stop,0.46533562500007974,60.171623438448755,stop
V04,voiceink-validation,can the taxi take four passengers plus a folding wheelchair and two medium cases or should we request a larger car question mark for the airport run,"Can the taxi take 4 passengers, a folding wheelchair, and 2 medium cases, or should we request a larger car for the airport run?","Can the taxi take four passengers plus a folding wheelchair and two medium cases, or should we request a larger car?","Can the taxi take four passengers plus a folding wheelchair and two medium cases, or should we request a larger car for the airport run?",,,True,False,False,False,0.8524590163934427,0.9393939393939393,0.08693492300049666,0.7076558470661475,0.8384756457152036,0.13081979864905613,0.4166666666666667,0.20833333333333334,-0.20833333333333334,0.5570846669997991,41.286363388652184,stop,0.422650665999754,63.882544550434275,stop
V05,voiceink-validation,before the guests arrive saturday morning comma separate the white laundry wash the towels at sixty and hang the linen shirts instead of machine drying them,"Before the guests arrive Saturday morning, separate the white laundry, wash the towels at 60 degrees, and hang the linen shirts instead of machine-drying them.","Before the guests arrive, Saturday morning:

- Separate the white laundry.
- Wash the towels at sixty.
- Hang the linen shirts instead of machine drying them.","Before the guests arrive, Saturday morning:

- Separate the white laundry.
- Wash the towels at 60 and hang the linen shirts instead of machine drying them.",,,True,False,False,False,0.8769716088328076,0.9206349206349206,0.043663311802113025,0.7188907789185063,0.7808884846901971,0.061997705771690836,0.48,0.36,-0.12,0.7320684589999473,47.80973632959444,stop,0.48874125000020285,71.61253526274992,stop
V06,voiceink-validation,dear neighbors please collect your post from the lower lobby shelf by friday evening period anything remaining there will move to reception before mondays delivery,"Dear Neighbors,

Please collect your post from the lower lobby shelf by Friday evening. Anything remaining there will move to Reception before Monday’s delivery.","Dear neighbors,

Please collect your post from the lower lobby shelf by Friday evening. Anything remaining there will move to reception before Monday’s delivery.

Best,
[Your Name]","Dear neighbors, please collect your post from the lower lobby shelf by Friday evening. Anything remaining there will move to reception before Monday’s delivery.",,,True,False,False,False,0.9325513196480939,0.9719626168224299,0.039411297174336,0.9101226412703347,0.8992894327117655,-0.010833208558569174,0.16666666666666666,0.125,-0.04166666666666666,0.749956249999741,49.33621127900832,stop,0.46132399999987683,60.69486954940015,stop
V07,voiceink-validation,support closed the incident at eleven forty p m utc service had been stable since ten oh five and monitoring continued overnight with the incident commander remaining on call,"Support closed the incident at 11:40 PM UTC. Service had been stable since 10:05, and monitoring continued overnight. The Incident Commander remained on call.","Support closed the incident at 11:40 UTC. Service had been stable since 10:05, and monitoring continued overnight with the incident commander remaining on call.","Support closed the incident at 11:40 PM UTC. Service had been stable since 10:55, and monitoring continued overnight with the incident commander remaining on call.",,,True,False,False,False,0.9371069182389937,0.940809968847352,0.0037030506083582937,0.8247407882006729,0.8270524623240818,0.0023116741234089355,0.2916666666666667,0.2916666666666667,0.0,0.7218661249999059,51.25604141627345,stop,0.43965087499964284,86.432217381646,stop
V08,voiceink-validation,the sales manager approved the five percent discount but not the free implementation package shown in the latest quote despite a separate verbal concession request,"The Sales manager approved the 5% discount, but not the free implementation package shown in the latest quote. A separate verbal concession request remains unapproved.",The sales manager approved the five percent discount but not the free implementation package shown in the latest quote despite a separate verbal concession request.,"The sales manager approved the five percent discount but not the free implementation package shown in the latest quote, despite a separate verbal concession request.",,,True,False,False,False,0.8580060422960725,0.8554216867469878,-0.0025843555490846493,0.7465118579215112,0.74880992440151,0.0022980664799987505,0.4,0.4,0.0,0.552065209000375,47.095885732553626,stop,0.4307371670001885,62.68323717694922,stop
V09,voiceink-validation,why did the nightly pipe line finish green even though the schema validation step logged seventeen errors is continue on error set somewhere question mark,Why did the nightly pipeline finish green even though the schema validation step logged 17 errors? Is continue-on-error set somewhere?,Why did the nightly pipe line finish green even though the schema validation step logged seventeen errors? Is it continue on error set somewhere question mark?,Why did the nightly pipeline finish green even though the schema validation step logged seventeen errors?,,,True,False,False,False,0.8873720136518771,0.8368200836820082,-0.0505519299698689,0.8170944176459985,0.7241162689931855,-0.09297814865281306,0.5,0.25,-0.25,0.613450875000126,45.64342662319008,stop,0.4096383750002133,41.50001815623634,stop
V10,voiceink-validation,please shorten the permission dialog it currently says in order to continue we need to be able to access your microphone period keep the reason visible though,"Please shorten the permission dialog. It currently says, “In order to continue, we need to be able to access your microphone.” Keep the reason visible, though.",Please shorten the permission dialog. It currently says “in order to continue” and “we need to be able to access your microphone.” Keep the reason visible though.,Please shorten the permission dialog to continue we need to be able to access your microphone. Keep the reason visible though.,,,True,False,False,False,0.9657320872274142,0.8842105263157894,-0.08152156091162477,0.8681592857556026,0.7204347906846843,-0.14772449507091834,0.23076923076923078,0.34615384615384615,0.11538461538461536,0.6424710420001247,51.36418272995655,stop,0.3728438329999335,61.68802582824027,stop
